Incident ID,Incident Date,State,State Code,County,City,City Or County,Address,# Killed,# Injured
1894822,04-01-2021,Louisiana,LA,Orleans,New Orleans,New Orleans,1600 block of N Galvez St,0,4
2488209,26-12-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,2031 St Maurice Ave,2,4
2477404,08-12-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,4242 Chef Menteur Hwy,0,4
2468894,27-11-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,200 block of Bourbon St,0,5
2442632,21-10-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,2200 block of N Galvez St,1,3
2369720,25-07-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,2000 block of Saint Andrew St,0,4
2328117,12-06-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,3940 Tulane Ave,0,4
2307813,20-05-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,St. Claude Ave and Forstall St,1,3
2296037,06-05-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,4800 block of Alcee Fortier Blvd,2,4
2290903,29-04-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,3201 Magazine St,0,6
2215256,19-01-2022,Louisiana,LA,Orleans,New Orleans,New Orleans,7800 block of Keats St,0,4
2566449,07-04-2023,Louisiana,LA,Orleans,New Orleans,New Orleans,I-10 and Read Blvd,0,4
2529243,19-02-2023,Louisiana,LA,Orleans,New Orleans,New Orleans,St Charles Ave and Terpsichore St,1,4
2521112,08-02-2023,Louisiana,LA,Orleans,New Orleans,New Orleans,Bullard Ave and Chef Menteur Hwy,2,4
2496431,05-01-2023,Louisiana,LA,Orleans,New Orleans,New Orleans,St Andrew St and Rev John Raphael Jr Way,2,3
2494425,03-01-2023,Louisiana,LA,Orleans,New Orleans,New Orleans,2600 block of S. Rocheblave St,0,5
269679,27-12-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,8800 block of South Figueroa Street,1,3
218054,07-11-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,East 126th Street and North Compton Avenue,0,4
185430,03-09-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,East 27th and Stanford ,0,6
152693,29-06-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,1100 block of North Vermont Avenue,1,5
149706,13-06-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,8600 block of South Figueroa Street,3,1
173109,22-04-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,6419 Brynhurst Avenue,1,3
96792,14-01-2014,California,CA,Los Angeles,Los Angeles,Los Angeles,West 86th Street,0,4
464665,13-12-2015,California,CA,Los Angeles,Los Angeles,Los Angeles,5550 S. Flower Street,1,3
395694,15-08-2015,California,CA,Los Angeles,Los Angeles,Los Angeles,57th Street and South Normandie Avenue,0,4
355644,10-06-2015,California,CA,Los Angeles,Los Angeles,Los Angeles,South Vermont Avenue and West 88th Street,1,3
717873,03-12-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,91st Street and Western Avenue,0,6
689009,29-10-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,1600 block of Century Boulevard,0,5
676663,15-10-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,2918 Rimpau Blvd,4,11
629663,13-08-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,6300 block of 11th Avenue,0,4
624156,07-08-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,5925 South Figueroa Street,1,3
595557,05-07-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,56th Street and Naomi Avenue,0,4
591975,28-06-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,13800 block of S Avalon Boulevard,1,3
537820,10-04-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,84th Street and Towne Avenue,0,4
501267,06-02-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,12800 block of Cook Street,1,3
491312,23-01-2016,California,CA,Los Angeles,Los Angeles,Los Angeles,8105 Avalon Blvd,2,2
894504,19-07-2017,California,CA,Los Angeles,Los Angeles,Los Angeles,Imperial Hwy and Broadway,1,3
858877,02-06-2017,California,CA,Los Angeles,Los Angeles,Los Angeles,89th St and Broadway,1,3
1244424,30-10-2018,California,CA,Los Angeles,Los Angeles,Los Angeles,65th Place and Vermont Avenue,0,5
1174527,28-07-2018,California,CA,Los Angeles,Los Angeles,Los Angeles,8801 S Vermont Ave,2,4
1156528,05-07-2018,California,CA,Los Angeles,Los Angeles,Los Angeles,1600 block of W. 2nd Street,3,3
1114725,13-05-2018,California,CA,Los Angeles,Los Angeles,Los Angeles,365 W Manchester Avenue,2,2
1037541,27-01-2018,California,CA,Los Angeles,Los Angeles,Los Angeles,243 East 119th St,0,5
1556633,24-11-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,100 block of E 11th St,0,6
1555879,23-11-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,833 S Spring St,0,4
1485548,22-08-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,300 block of West Fifth St,0,4
1439737,04-07-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,1900 block of Adair St,0,4
1395560,14-05-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,1248 W 47th St,0,4
1381734,27-04-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,700 N San Fernando Rd,0,6
1369109,11-04-2019,California,CA,Los Angeles,Los Angeles,Los Angeles,E 103rd St and S Main St,1,4
1812972,02-10-2020,California,CA,Los Angeles,Los Angeles,Los Angeles,51st St and Hoover St,0,4
1689555,26-05-2020,California,CA,Los Angeles,Los Angeles,Los Angeles,119th St and Berendo Ave,0,5
1652734,05-04-2020,California,CA,Los Angeles,Los Angeles,Los Angeles,89th St and Hobart Ave,1,3
2201216,31-12-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,10211 S. Avalon Blvd,0,6
2124887,24-09-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,11724 Wilmington Ave,0,4
2101199,27-08-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,8400 block of Fountain Ave,0,4
2094035,18-08-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,W Jefferson Blvd and Culver Blvd,0,4
2058421,09-07-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,7114 W Manchester Ave,0,4
1999909,09-05-2021,California,CA,Los Angeles,Los Angeles,Los Angeles,6112 W Afton Pl,1,3
2414858,14-09-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,312 E 5th St,0,4
2410269,08-09-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,4th St and Broadway,0,4
2399839,28-08-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,2471 Whittier Blvd,0,6
2366273,21-07-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,210 W 7th St,0,5
2328374,12-06-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,3300 block of E 14th St,3,4
2207931,09-01-2022,California,CA,Los Angeles,Los Angeles,Los Angeles,W 35th St and S Hill St,2,4
2539082,04-03-2023,California,CA,Los Angeles,Los Angeles,Los Angeles,E 76th Place and S Main St,0,4
2516494,01-02-2023,California,CA,Los Angeles,Los Angeles,Los Angeles,711 E. 108 St,0,5
270036,27-12-2014,California,CA,Sacramento,Sacramento,Sacramento,4000 block of May Street,0,4
158387,13-07-2014,California,CA,Sacramento,Sacramento,Sacramento,1972 Fulton Ave,1,4
141792,01-06-2014,California,CA,Sacramento,Sacramento,Sacramento,6500 46th Street,0,4
156823,10-05-2014,California,CA,Sacramento,Sacramento,Sacramento,3031 Guadalajara Way,1,6
455684,27-11-2015,California,CA,Sacramento,Sacramento,Sacramento,7900 block of Florin Road,2,2
295871,20-02-2015,California,CA,Sacramento,Sacramento,Sacramento,1417 R Street,0,4
724667,12-12-2016,California,CA,Sacramento,Sacramento,Sacramento,4800 block of Myrtle Avenue,1,3
699033,12-11-2016,California,CA,Sacramento,Sacramento,Sacramento,8600 block of Ardith Drive,1,5
672217,09-10-2016,California,CA,Sacramento,Sacramento,Sacramento,1696 Arden Way,1,3
626960,10-08-2016,California,CA,Sacramento,Sacramento,Sacramento,4000 Green Tree Drive,1,3
568745,30-05-2016,California,CA,Sacramento,Sacramento,Sacramento,3900 block of 44th,0,5
921733,27-08-2017,California,CA,Sacramento,Sacramento,Sacramento,7760 24th St,1,4
912322,13-08-2017,California,CA,Sacramento,Sacramento,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4
832290,29-04-2017,California,CA,Sacramento,Sacramento,Sacramento,3800 block of 26th Avenue,0,5
