County,Incident ID,# Killed,# Injured
Humboldt,2489124,2,2
Hunt,1535478,2,6
Iberia,7143225,1,17
Ingham,15451612,8,32
Iron,2495648,8,0
Jackson,43503616,18,132
Jasper,3207814,0,15
Jefferson,159017602,104,399
Johnson,7135755,13,19
Johnston,436202,0,5
Jones,2291534,0,4
Kalamazoo,6595123,7,18
Kanawha,2435523,5,3
Kane,9650046,11,32
Kankakee,4523091,4,19
Kendall,2532911,0,10
Kenosha,13256971,11,17
Kent,22106241,6,54
Kenton,5542778,0,14
Kern,22188565,26,58
King,30037220,15,77
Kingfisher,2464943,4,1
Kings,82968836,23,251
Kitsap,1025158,4,0
Klamath,2166953,2,2
Knox,8423394,1,20
Lafayette,12513960,6,45
Lafourche,2383835,1,7
Lake,27724404,30,98
Lancaster,11815420,3,28
Lane,2211746,0,6
Laramie,1505354,2,2
Lauderdale,8070351,14,11
Laurens,1489373,0,4
Lawrence,2655838,4,4
Le Flore,1112948,1,4
Lea,1487729,3,4
Lebanon,1305563,0,4
Lee,11620030,17,57
Leflore,8098226,5,26
Lehigh,3919639,0,14
Leon,13827331,12,33
Levy,1785713,0,6
Lewis,1678589,1,4
Liberty,1767402,3,2
Limestone,2522205,5,4
Lincoln,4980405,14,21
Linn,5804137,5,17
Livingston,2136907,2,4
Lorain,1749873,5,0
Los Angeles,142722547,126,443
Lowndes,8962235,4,13
Lubbock,9348164,4,25
Lucas,23168167,10,61
Luzerne,2248066,1,4
Lycoming,325445,0,5
Lynchburg,657863,1,3
Macomb,6041073,1,17
Macon,9039690,4,22
Madison,25234115,13,80
Mahoning,7073163,4,15
Manassas,4349345,3,11
Manatee,1137600,1,5
Marathon,800363,5,0
Marengo,1262814,2,2
Maricopa,61956510,54,175
Marin,2072896,2,4
Marion,68211405,62,166
Marlboro,5491382,3,15
Marshall,4182977,5,20
Martin,3704226,0,9
Mason,512073,5,0
Matanuska-Susitna,1866100,4,0
Maury,1402687,5,5
McCormick,1941647,0,4
McCracken,4344197,1,8
McDonough,2553878,1,10
McIntosh,618321,0,5
McKinley,1254225,4,1
McLean,4386881,8,6
McLennan,5086295,14,23
McMinn,2125444,4,1
Mecklenburg,18363200,10,73
Mecosta,2313970,4,1
Merced,3925573,1,7
Mercer,19958455,5,77
Meriwether,421014,0,10
Mesa,1933975,1,3
Miami-Dade,85917524,48,300
Middlesex,9319348,2,31
Milwaukee,61609675,31,152
Minnehaha,1720655,1,3
Mississippi,6463348,6,30
