Incident ID,Incident Date,# Injured
1545955,09-11-2019,4
1540240,02-11-2019,4
1536706,27-10-2019,4
1404580,25-05-2019,2
1812049,01-10-2020,5
1807325,28-09-2020,6
1774123,24-08-2020,4
1750250,29-07-2020,4
1739920,19-07-2020,3
1739917,19-07-2020,0
1725571,05-07-2020,4
1724231,04-07-2020,3
1711876,20-06-2020,4
1655674,08-04-2020,4
2182789,05-12-2021,2
2114481,12-09-2021,4
2092227,16-08-2021,3
2074353,25-07-2021,6
2060949,13-07-2021,6
2030720,10-06-2021,3
1998537,08-05-2021,4
1981521,18-04-2021,5
1979684,16-04-2021,4
1970245,06-04-2021,3
1959549,22-03-2021,3
2477622,08-12-2022,4
2412198,11-09-2022,4
2400026,28-08-2022,1
2380361,06-08-2022,4
2380869,06-08-2022,6
2374337,31-07-2022,6
2361849,17-07-2022,4
2354825,08-07-2022,4
2334936,19-06-2022,3
2327598,11-06-2022,4
2297823,09-05-2022,4
2571648,13-04-2023,5
2534097,26-02-2023,2
282186,22-12-2014,2
267721,22-12-2014,5
222792,19-11-2014,3
180018,24-08-2014,3
163874,25-07-2014,6
160488,19-07-2014,4
157580,11-07-2014,3
142822,04-06-2014,3
142076,02-06-2014,7
141382,01-06-2014,5
134591,12-05-2014,4
131697,04-05-2014,3
130933,30-04-2014,4
127413,20-04-2014,5
122136,05-04-2014,5
113214,08-03-2014,6
104218,05-02-2014,3
100434,25-01-2014,4
451349,22-11-2015,4
422064,28-09-2015,2
422035,28-09-2015,3
421358,27-09-2015,4
419718,24-09-2015,5
416872,20-09-2015,5
409856,08-09-2015,4
402113,26-08-2015,2
395757,16-08-2015,4
385824,02-08-2015,4
401742,02-08-2015,4
376211,17-07-2015,5
353037,06-06-2015,5
348620,28-05-2015,5
303659,09-03-2015,3
734157,25-12-2016,4
732574,23-12-2016,4
727555,16-12-2016,4
727544,16-12-2016,2
710732,26-11-2016,5
704568,18-11-2016,4
697377,09-11-2016,3
693290,05-11-2016,5
692020,03-11-2016,2
676376,14-10-2016,6
675993,13-10-2016,4
648884,05-09-2016,3
646855,03-09-2016,4
623439,07-08-2016,4
615024,28-07-2016,2
609402,21-07-2016,5
592724,30-06-2016,4
591294,28-06-2016,4
587983,25-06-2016,4
586058,22-06-2016,4
583362,18-06-2016,4
580279,13-06-2016,5
569225,31-05-2016,4
557479,11-05-2016,5
544080,19-04-2016,3
543132,19-04-2016,4
535927,07-04-2016,4
528614,25-03-2016,4
526380,21-03-2016,4
481900,08-01-2016,4
1017422,31-12-2017,4
1002514,06-12-2017,4
953156,06-10-2017,5
933957,15-09-2017,0
928380,06-09-2017,4
925436,02-09-2017,3
918204,22-08-2017,4
916848,20-08-2017,5
909423,08-08-2017,6
903853,01-08-2017,4
900387,27-07-2017,4
896444,23-07-2017,3
891092,15-07-2017,4
877295,27-06-2017,5
869877,18-06-2017,4
869838,17-06-2017,4
864743,11-06-2017,9
838272,07-05-2017,8
814094,07-04-2017,5
809978,02-04-2017,4
807618,30-03-2017,0
791298,10-03-2017,2
789798,07-03-2017,4
775531,15-02-2017,2
772753,11-02-2017,3
760259,25-01-2017,6
748348,11-01-2017,3
1240751,24-10-2018,5
1238603,22-10-2018,6
1221758,01-10-2018,2
1213836,19-09-2018,4
1208397,11-09-2018,4
1191279,19-08-2018,5
1189717,17-08-2018,7
1179935,05-08-2018,4
1179619,05-08-2018,5
1179607,05-08-2018,8
1179677,05-08-2018,4
1179644,05-08-2018,4
1179805,04-08-2018,3
1175571,30-07-2018,4
1173637,27-07-2018,4
