Incident ID,Incident Date,City,City Or County
568745,30-05-2016,Sacramento,Sacramento
921733,27-08-2017,Sacramento,Sacramento
912322,13-08-2017,Sacramento,Sacramento
832290,29-04-2017,Sacramento,Sacramento
787801,04-03-2017,Sacramento,Sacramento
1398876,17-05-2019,Sacramento,Sacramento
1839628,31-10-2020,Sacramento,Sacramento
1813583,03-10-2020,Sacramento,Sacramento
1773194,24-08-2020,Sacramento,Sacramento
1702372,10-06-2020,Sacramento,Sacramento
1698868,06-06-2020,Sacramento,Sacramento
2154873,30-10-2021,Sacramento,Sacramento
2065634,16-07-2021,Sacramento,Sacramento
2458933,12-11-2022,Sacramento,Sacramento
2348230,04-07-2022,Sacramento,Sacramento
2281164,17-04-2022,Sacramento,Sacramento
2269082,03-04-2022,Sacramento,Sacramento
2243861,28-02-2022,Sacramento,Sacramento
2539814,06-03-2023,Sacramento,Sacramento
269167,26-12-2014,East St. Louis,East St. Louis
268598,24-12-2014,Saint Louis,Saint Louis
227011,02-12-2014,Saint Louis,Saint Louis
197287,27-09-2014,Saint Louis,Saint Louis
168786,03-08-2014,Saint Louis,Saint Louis
165089,27-07-2014,Saint Louis,Saint Louis
155412,06-07-2014,Saint Louis,Saint Louis
153648,29-06-2014,Saint Louis,Saint Louis
389149,04-08-2015,Saint Louis,Saint Louis
382230,22-07-2015,Saint Louis,Saint Louis
374292,14-07-2015,Saint Louis,Saint Louis
357611,14-06-2015,Saint Louis,Saint Louis
355267,09-06-2015,Saint Louis,Saint Louis
346179,24-05-2015,Saint Louis,Saint Louis
491864,07-03-2015,Saint Louis,Saint Louis
640689,28-08-2016,Saint Louis,Saint Louis
617712,30-07-2016,Saint Louis,Saint Louis
602765,13-07-2016,Saint Louis,Saint Louis
920513,24-08-2017,Saint Louis,Saint Louis
912093,12-08-2017,Saint Louis,Saint Louis
875886,25-06-2017,Saint Louis,Saint Louis
870095,18-06-2017,Saint Louis,Saint Louis
858810,03-06-2017,Saint Louis,Saint Louis
857443,01-06-2017,Saint Louis,Saint Louis
802240,24-03-2017,Saint Louis,Saint Louis
1260525,21-11-2018,Saint Louis,Saint Louis
1232018,13-10-2018,Saint Louis,Saint Louis
1194057,22-08-2018,Saint Louis,Saint Louis
1184992,10-08-2018,Saint Louis,Saint Louis
1155567,03-07-2018,Saint Louis,Saint Louis
1113737,11-05-2018,Saint Louis,Saint Louis
1111950,09-05-2018,Saint Louis,Saint Louis
1100852,25-04-2018,Saint Louis,Saint Louis
1040815,31-01-2018,Saint Louis,Saint Louis
1520547,05-10-2019,Saint Louis,Saint Louis
1517804,01-10-2019,Saint Louis,Saint Louis
1504030,14-09-2019,Saint Louis,Saint Louis
1486675,23-08-2019,Saint Louis,Saint Louis
1472641,07-08-2019,Saint Louis,Saint Louis
1441613,07-07-2019,Saint Louis,Saint Louis
1441721,06-07-2019,Saint Louis,Saint Louis
1407941,27-05-2019,Saint Louis,Saint Louis
1394330,13-05-2019,Saint Louis,Saint Louis
1392313,10-05-2019,Saint Louis,Saint Louis
1386510,04-05-2019,Saint Louis,Saint Louis
1806368,26-09-2020,Saint Louis,Saint Louis
1786890,06-09-2020,Saint Louis,Saint Louis
1754640,04-08-2020,Saint Louis,Saint Louis
1749746,29-07-2020,Saint Louis,Saint Louis
1704116,13-06-2020,Saint Louis,Saint Louis
1694735,01-06-2020,Saint Louis,Saint Louis
1687219,24-05-2020,Saint Louis,Saint Louis
1676121,09-05-2020,Saint Louis,Saint Louis
1642826,20-03-2020,Saint Louis,Saint Louis
1585894,01-01-2020,Saint Louis,Saint Louis
2143113,17-10-2021,Saint Louis,Saint Louis
2121031,20-09-2021,Saint Louis,Saint Louis
2111895,08-09-2021,Saint Louis,Saint Louis
2041726,21-06-2021,Saint Louis,Saint Louis
2026802,06-06-2021,Saint Louis,Saint Louis
2021398,31-05-2021,Saint Louis,Saint Louis
2019384,29-05-2021,Saint Louis,Saint Louis
2443879,24-10-2022,Saint Louis,Saint Louis
2407739,05-09-2022,Saint Louis,Saint Louis
2385846,12-08-2022,Saint Louis,Saint Louis
2299793,11-05-2022,Saint Louis,Saint Louis
2222557,29-01-2022,Saint Louis,Saint Louis
2528774,18-02-2023,Saint Louis,Saint Louis
267792,23-12-2014,Winchester,Winchester
268282,22-12-2014,Detroit,Detroit
206303,16-10-2014,Detroit,Detroit
201052,05-10-2014,Detroit,Detroit
189562,11-09-2014,Detroit,Detroit
181947,27-08-2014,Detroit,Detroit
157018,26-06-2014,Detroit,Detroit
138567,24-05-2014,Detroit,Detroit
96185,13-01-2014,Detroit,Detroit
391219,09-08-2015,Detroit,Detroit
374965,15-07-2015,Detroit,Detroit
365391,28-06-2015,Detroit,Detroit
364789,27-06-2015,Detroit,Detroit
361212,20-06-2015,Detroit,Detroit
336622,07-05-2015,Detroit,Detroit
299344,01-03-2015,Detroit,Detroit
605367,17-07-2016,Detroit,Detroit
555873,06-05-2016,Detroit,Detroit
542259,16-04-2016,Detroit,Detroit
520767,11-03-2016,Detroit,Detroit
513549,28-02-2016,Detroit,Detroit
999969,02-12-2017,Detroit,Detroit
998843,30-11-2017,Detroit,Detroit
936028,17-09-2017,Detroit,Detroit
803460,25-03-2017,Detroit,Detroit
797125,18-03-2017,Detroit,Detroit
1244754,31-10-2018,Detroit,Detroit
1184206,10-08-2018,Detroit,Detroit
1057518,26-02-2018,Detroit,Detroit
1047761,11-02-2018,Detroit,Detroit
1545955,09-11-2019,Detroit,Detroit
1540240,02-11-2019,Detroit,Detroit
1536706,27-10-2019,Detroit,Detroit
1404580,25-05-2019,Detroit,Detroit
1812049,01-10-2020,Detroit,Detroit
1807325,28-09-2020,Detroit,Detroit
1774123,24-08-2020,Detroit,Detroit
1750250,29-07-2020,Detroit,Detroit
1739920,19-07-2020,Detroit,Detroit
1739917,19-07-2020,Detroit,Detroit
1725571,05-07-2020,Detroit,Detroit
1724231,04-07-2020,Detroit,Detroit
1711876,20-06-2020,Detroit,Detroit
1655674,08-04-2020,Detroit,Detroit
2182789,05-12-2021,Detroit,Detroit
2114481,12-09-2021,Detroit,Detroit
2092227,16-08-2021,Detroit,Detroit
2074353,25-07-2021,Detroit,Detroit
2060949,13-07-2021,Detroit,Detroit
2030720,10-06-2021,Detroit,Detroit
1998537,08-05-2021,Detroit,Detroit
1981521,18-04-2021,Detroit,Detroit
1979684,16-04-2021,Detroit,Detroit
1970245,06-04-2021,Detroit,Detroit
1959549,22-03-2021,Detroit,Detroit
2477622,08-12-2022,Detroit,Detroit
2412198,11-09-2022,Detroit,Detroit
2400026,28-08-2022,Detroit,Detroit
2380361,06-08-2022,Detroit,Detroit
2380869,06-08-2022,Detroit,Detroit
2374337,31-07-2022,Detroit,Detroit
2361849,17-07-2022,Detroit,Detroit
2354825,08-07-2022,Detroit,Detroit
2334936,19-06-2022,Detroit,Detroit
2327598,11-06-2022,Detroit,Detroit
2297823,09-05-2022,Detroit,Detroit
2571648,13-04-2023,Detroit,Detroit
2534097,26-02-2023,Detroit,Detroit
282186,22-12-2014,Webster,Webster
267721,22-12-2014,Chicago,Chicago
222792,19-11-2014,Chicago,Chicago
180018,24-08-2014,Chicago,Chicago
163874,25-07-2014,Chicago,Chicago
160488,19-07-2014,Chicago,Chicago
157580,11-07-2014,Chicago,Chicago
142822,04-06-2014,Chicago,Chicago
142076,02-06-2014,Chicago,Chicago
141382,01-06-2014,Chicago,Chicago
134591,12-05-2014,Chicago,Chicago
131697,04-05-2014,Chicago,Chicago
130933,30-04-2014,Chicago,Chicago
127413,20-04-2014,Chicago,Chicago
122136,05-04-2014,Chicago,Chicago
113214,08-03-2014,Chicago,Chicago
104218,05-02-2014,Chicago,Chicago
100434,25-01-2014,Chicago,Chicago
451349,22-11-2015,Chicago,Chicago
422064,28-09-2015,Chicago,Chicago
422035,28-09-2015,Chicago,Chicago
421358,27-09-2015,Chicago,Chicago
419718,24-09-2015,Chicago,Chicago
416872,20-09-2015,Chicago,Chicago
409856,08-09-2015,Chicago,Chicago
402113,26-08-2015,Chicago,Chicago
395757,16-08-2015,Chicago,Chicago
385824,02-08-2015,Chicago,Chicago
401742,02-08-2015,Chicago,Chicago
376211,17-07-2015,Chicago,Chicago
353037,06-06-2015,Chicago,Chicago
348620,28-05-2015,Chicago,Chicago
303659,09-03-2015,Chicago,Chicago
734157,25-12-2016,Chicago,Chicago
732574,23-12-2016,Chicago,Chicago
727555,16-12-2016,Chicago,Chicago
727544,16-12-2016,Chicago,Chicago
710732,26-11-2016,Chicago,Chicago
704568,18-11-2016,Chicago,Chicago
697377,09-11-2016,Chicago,Chicago
693290,05-11-2016,Chicago,Chicago
692020,03-11-2016,Chicago,Chicago
676376,14-10-2016,Chicago,Chicago
675993,13-10-2016,Chicago,Chicago
648884,05-09-2016,Chicago,Chicago
646855,03-09-2016,Chicago,Chicago
623439,07-08-2016,Chicago,Chicago
615024,28-07-2016,Chicago,Chicago
609402,21-07-2016,Chicago,Chicago
592724,30-06-2016,Chicago,Chicago
591294,28-06-2016,Chicago,Chicago
587983,25-06-2016,Chicago,Chicago
586058,22-06-2016,Chicago,Chicago
583362,18-06-2016,Chicago,Chicago
580279,13-06-2016,Chicago,Chicago
569225,31-05-2016,Chicago,Chicago
557479,11-05-2016,Chicago,Chicago
544080,19-04-2016,Chicago,Chicago
543132,19-04-2016,Chicago,Chicago
535927,07-04-2016,Chicago,Chicago
528614,25-03-2016,Chicago,Chicago
526380,21-03-2016,Chicago,Chicago
481900,08-01-2016,Chicago,Chicago
1017422,31-12-2017,Chicago,Chicago
1002514,06-12-2017,Chicago,Chicago
953156,06-10-2017,Chicago,Chicago
933957,15-09-2017,Chicago,Chicago
928380,06-09-2017,Chicago,Chicago
925436,02-09-2017,Chicago,Chicago
918204,22-08-2017,Chicago,Chicago
916848,20-08-2017,Chicago,Chicago
909423,08-08-2017,Chicago,Chicago
903853,01-08-2017,Chicago,Chicago
900387,27-07-2017,Chicago,Chicago
896444,23-07-2017,Chicago,Chicago
891092,15-07-2017,Chicago,Chicago
877295,27-06-2017,Chicago,Chicago
869877,18-06-2017,Chicago,Chicago
869838,17-06-2017,Chicago,Chicago
864743,11-06-2017,Chicago,Chicago
838272,07-05-2017,Chicago,Chicago
814094,07-04-2017,Chicago,Chicago
809978,02-04-2017,Chicago,Chicago
807618,30-03-2017,Chicago,Chicago
791298,10-03-2017,Chicago,Chicago
789798,07-03-2017,Chicago,Chicago
775531,15-02-2017,Chicago,Chicago
772753,11-02-2017,Chicago,Chicago
760259,25-01-2017,Chicago,Chicago
748348,11-01-2017,Chicago,Chicago
1240751,24-10-2018,Chicago,Chicago
1238603,22-10-2018,Chicago,Chicago
1221758,01-10-2018,Chicago,Chicago
1213836,19-09-2018,Chicago,Chicago
1208397,11-09-2018,Chicago,Chicago
1191279,19-08-2018,Chicago,Chicago
1189717,17-08-2018,Chicago,Chicago
1179935,05-08-2018,Chicago,Chicago
1179619,05-08-2018,Chicago,Chicago
1179607,05-08-2018,Chicago,Chicago
1179677,05-08-2018,Chicago,Chicago
1179644,05-08-2018,Chicago,Chicago
1179805,04-08-2018,Chicago,Chicago
1175571,30-07-2018,Chicago,Chicago
1173637,27-07-2018,Chicago,Chicago
1170482,23-07-2018,Chicago,Chicago
1169103,21-07-2018,Chicago,Chicago
1153997,01-07-2018,Chicago,Chicago
1149910,25-06-2018,Chicago,Chicago
1147720,23-06-2018,Chicago,Chicago
1146547,21-06-2018,Chicago,Chicago
1143558,18-06-2018,Chicago,Chicago
1143524,17-06-2018,Chicago,Chicago
1137473,10-06-2018,Chicago,Chicago
1131909,03-06-2018,Chicago,Chicago
1106451,02-05-2018,Chicago,Chicago
1031851,21-01-2018,Chicago,Chicago
1577518,22-12-2019,Chicago,Chicago
1525476,12-10-2019,Chicago,Chicago
1511999,24-09-2019,Chicago,Chicago
1507156,18-09-2019,Chicago,Chicago
1501350,10-09-2019,Chicago,Chicago
1495141,02-09-2019,Chicago,Chicago
1493038,31-08-2019,Chicago,Chicago
1487573,25-08-2019,Chicago,Chicago
1475924,11-08-2019,Chicago,Chicago
1475208,09-08-2019,Chicago,Chicago
1468190,04-08-2019,Chicago,Chicago
1468091,04-08-2019,Chicago,Chicago
1460726,28-07-2019,Chicago,Chicago
1453327,21-07-2019,Chicago,Chicago
1452617,20-07-2019,Chicago,Chicago
1450767,18-07-2019,Chicago,Chicago
1447456,14-07-2019,Chicago,Chicago
1446611,13-07-2019,Chicago,Chicago
1441396,07-07-2019,Chicago,Chicago
1441296,07-07-2019,Chicago,Chicago
1439593,05-07-2019,Chicago,Chicago
1438971,04-07-2019,Chicago,Chicago
1434931,29-06-2019,Chicago,Chicago
1427483,21-06-2019,Chicago,Chicago
1417570,08-06-2019,Chicago,Chicago
1416374,06-06-2019,Chicago,Chicago
1411598,01-06-2019,Chicago,Chicago
1412243,01-06-2019,Chicago,Chicago
1364540,06-04-2019,Chicago,Chicago
1359455,31-03-2019,Chicago,Chicago
1338765,03-03-2019,Chicago,Chicago
1318391,03-02-2019,Chicago,Chicago
1305516,19-01-2019,Chicago,Chicago
1881213,19-12-2020,Chicago,Chicago
1869748,04-12-2020,Chicago,Chicago
1858455,22-11-2020,Chicago,Chicago
1857439,21-11-2020,Chicago,Chicago
1853615,16-11-2020,Chicago,Chicago
1854076,16-11-2020,Chicago,Chicago
1839065,30-10-2020,Chicago,Chicago
1828080,18-10-2020,Chicago,Chicago
1820156,10-10-2020,Chicago,Chicago
1805722,26-09-2020,Chicago,Chicago
1799748,19-09-2020,Chicago,Chicago
1799703,19-09-2020,Chicago,Chicago
1796638,15-09-2020,Chicago,Chicago
1794086,13-09-2020,Chicago,Chicago
1792650,12-09-2020,Chicago,Chicago
1786920,06-09-2020,Chicago,Chicago
1779718,30-08-2020,Chicago,Chicago
1773006,23-08-2020,Chicago,Chicago
1769489,19-08-2020,Chicago,Chicago
1756248,05-08-2020,Chicago,Chicago
1752100,01-08-2020,Chicago,Chicago
1747700,27-07-2020,Chicago,Chicago
1744332,23-07-2020,Chicago,Chicago
1741838,21-07-2020,Chicago,Chicago
1740615,20-07-2020,Chicago,Chicago
1740013,19-07-2020,Chicago,Chicago
1738635,18-07-2020,Chicago,Chicago
1733188,12-07-2020,Chicago,Chicago
1732229,12-07-2020,Chicago,Chicago
1727567,06-07-2020,Chicago,Chicago
1725883,05-07-2020,Chicago,Chicago
1725145,05-07-2020,Chicago,Chicago
1725098,04-07-2020,Chicago,Chicago
1725081,04-07-2020,Chicago,Chicago
1720761,30-06-2020,Chicago,Chicago
1718966,27-06-2020,Chicago,Chicago
1714504,23-06-2020,Chicago,Chicago
1712408,22-06-2020,Chicago,Chicago
1712386,22-06-2020,Chicago,Chicago
1711487,21-06-2020,Chicago,Chicago
1708432,17-06-2020,Chicago,Chicago
1706710,15-06-2020,Chicago,Chicago
1698987,07-06-2020,Chicago,Chicago
1699667,07-06-2020,Chicago,Chicago
1695645,02-06-2020,Chicago,Chicago
1688917,26-05-2020,Chicago,Chicago
1686685,23-05-2020,Chicago,Chicago
1671078,03-05-2020,Chicago,Chicago
1654341,07-04-2020,Chicago,Chicago
1635411,07-03-2020,Chicago,Chicago
1629042,25-02-2020,Chicago,Chicago
1621821,14-02-2020,Chicago,Chicago
1598447,16-01-2020,Chicago,Chicago
2168989,17-11-2021,Chicago,Chicago
2148282,22-10-2021,Chicago,Chicago
2137179,10-10-2021,Chicago,Chicago
2134657,07-10-2021,Chicago,Chicago
2128682,29-09-2021,Chicago,Chicago
2127374,28-09-2021,Chicago,Chicago
2126450,27-09-2021,Chicago,Chicago
2125790,26-09-2021,Chicago,Chicago
2119609,19-09-2021,Chicago,Chicago
2113623,11-09-2021,Chicago,Chicago
2113841,11-09-2021,Chicago,Chicago
2107476,04-09-2021,Chicago,Chicago
2102694,28-08-2021,Chicago,Chicago
2098246,23-08-2021,Chicago,Chicago
2097075,22-08-2021,Chicago,Chicago
2096687,21-08-2021,Chicago,Chicago
2097063,21-08-2021,Chicago,Chicago
2095116,19-08-2021,Chicago,Chicago
2091489,15-08-2021,Chicago,Chicago
2085388,08-08-2021,Chicago,Chicago
